                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.87477,                0.72522,                 1.0451,                0.86079,                0.66426,                0.73124,                0.54942,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     39,                0.87022,                0.71689,                 1.0436,                0.87518,                0.66119,                0.73894,                0.55723,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     40,                0.87151,                0.71375,                 1.0405,                0.84822,                0.64718,                0.71882,                0.54707,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     41,                0.85391,                0.71134,                 1.0366,                 0.8527,                0.66315,                 0.7346,                0.55962,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     42,                0.85778,                0.70318,                 1.0344,                0.84934,                0.65935,                0.72704,                0.55725,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     43,                 0.8526,                 0.6978,                 1.0299,                0.86913,                0.66499,                0.73835,                0.56324,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     44,                0.84897,                0.69574,                 1.0306,                0.87776,                0.65087,                0.72173,                0.55305,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     45,                0.84533,                0.69563,                  1.028,                0.83987,                0.67687,                0.73007,                0.55985,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     46,                 0.8371,                0.67796,                 1.0259,                0.86663,                0.66166,                0.72755,                0.55668,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     47,                0.83619,                0.67635,                 1.0257,                0.85263,                0.66941,                0.72823,                0.56034,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     48,                0.83259,                0.67478,                 1.0249,                0.88244,                0.64911,                0.72328,                0.55665,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     49,                0.82963,                0.66673,                 1.0234,                 0.8398,                0.67562,                0.72715,                0.55777,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     50,                0.82598,                0.66447,                 1.0175,                0.85729,                0.66349,                0.72175,                0.55807,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     51,                0.81607,                0.65595,                 1.0128,                0.83917,                 0.6639,                0.71498,                0.55529,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     52,                0.81595,                0.64433,                 1.0114,                0.84966,                0.66286,                0.71446,                0.55498,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     53,                0.80886,                0.64532,                 1.0101,                0.84466,                0.66348,                0.71756,                0.55568,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     54,                0.80894,                0.63716,                 1.0129,                0.88415,                0.65183,                0.72735,                0.56466,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     55,                0.80056,                0.63614,                 1.0066,                0.86613,                0.66263,                0.72791,                0.56526,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     56,                0.79991,                0.63523,                 1.0049,                0.84238,                 0.6722,                0.72135,                0.56333,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     57,                0.79397,                0.62206,                 1.0058,                0.86752,                0.67069,                0.72961,                0.56797,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     58,                0.79368,                0.62413,                 1.0049,                0.86819,                0.67977,                0.73417,                0.57272,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     59,                0.79437,                0.61614,                 1.0012,                0.87843,                0.64785,                0.71309,                0.55993,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     60,                0.78182,                0.60849,                0.99243,                0.86671,                0.66158,                0.72276,                0.56441,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     61,                0.77837,                0.60701,                0.99777,                0.86643,                0.67731,                0.72899,                0.57252,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     62,                0.77671,                0.60362,                0.99517,                 0.8741,                0.66192,                0.72437,                0.56972,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     63,                0.77523,                0.59931,                0.99239,                0.87278,                0.66355,                0.72135,                0.56616,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     64,                0.77197,                0.59615,                0.98955,                 0.8597,                0.64987,                0.70565,                0.55221,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     65,                0.76507,                0.58932,                0.98709,                0.88011,                0.65192,                0.71809,                0.56585,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     66,                 0.7695,                0.58883,                0.98921,                   0.89,                0.64181,                0.71501,                0.56414,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
